Buenos Aires,Villarino,205,0.06
Buenos Aires,Zarate,882,0.05
Catamarca,Ambato,27,0.11
Catamarca,Ancasti,19,0.05
Catamarca,Andalgala,127,0.07
Catamarca,Antofagasta de la Sierra,6,0.17
Catamarca,Belen,201,0.09
Catamarca,Capayan,112,0.09
Catamarca,Capital,1220,0.06
Catamarca,El Alto,29,0.07
Catamarca,Fray Mamerto Esquiu,94,0.00
Catamarca,La Paz,173,0.11
Catamarca,Paclin,21,0.00
Catamarca,Poman,83,0.07
Catamarca,Santa Maria,171,0.11
Catamarca,Santa Rosa,66,0.12
Catamarca,Tinogasta,207,0.11
Catamarca,Valle Viejo,178,0.06
Ciudad Autonoma de Buenos Aires,Comuna 01,1435,0.04
Ciudad Autonoma de Buenos Aires,Comuna 02,1158,0.03
Ciudad Autonoma de Buenos Aires,Comuna 03,1460,0.04
Ciudad Autonoma de Buenos Aires,Comuna 04,1593,0.05
Ciudad Autonoma de Buenos Aires,Comuna 05,1429,0.04
Ciudad Autonoma de Buenos Aires,Comuna 06,1336,0.03
Ciudad Autonoma de Buenos Aires,Comuna 07,1646,0.04
Ciudad Autonoma de Buenos Aires,Comuna 08,1416,0.06
Ciudad Autonoma de Buenos Aires,Comuna 09,1263,0.04
Ciudad Autonoma de Buenos Aires,Comuna 10,1252,0.05
Ciudad Autonoma de Buenos Aires,Comuna 11,1448,0.04
Ciudad Autonoma de Buenos Aires,Comuna 12,1625,0.04
Ciudad Autonoma de Buenos Aires,Comuna 13,1757,0.03
Ciudad Autonoma de Buenos Aires,Comuna 14,1780,0.03
Ciudad Autonoma de Buenos Aires,Comuna 15,1384,0.04
Cordoba,Calamuchita,385,0.09
Cordoba,Capital,10006,0.06
Cordoba,Colon,1688,0.06
Cordoba,Cruz del Eje,405,0.06
Cordoba,General Roca,288,0.08
Cordoba,General San Martin,964,0.07
Cordoba,Ischilin,245,0.08
Cordoba,Juarez Celman,457,0.07
Cordoba,Marcos Juarez,800,0.05
Cordoba,Minas,39,0.10
Cordoba,Pocho,35,0.14
Cordoba,Presidente Roque Saenz Pena,284,0.05
Cordoba,Punilla,1321,0.05
Cordoba,Rio Cuarto,1899,0.07
Cordoba,Rio Primero,390,0.07
Cordoba,Rio Seco,93,0.09
Cordoba,Rio Segundo,873,0.06
Cordoba,San Alberto,278,0.06
Cordoba,San Javier,401,0.07
Cordoba,San Justo,1556,0.07
Cordoba,Santa Maria,719,0.07
Cordoba,Sobremonte,33,0.15
Cordoba,Tercero Arriba,796,0.06
Cordoba,Totoral,131,0.09
Cordoba,Tulumba,82,0.11
Cordoba,Union,793,0.06
Corrientes,Bella Vista,253,0.08
Corrientes,Beron de Astrada,17,0.06
Corrientes,Capital,2683,0.07
Corrientes,Concepcion,146,0.16
Corrientes,Curuzu Cuatia,345,0.10
Corrientes,Empedrado,109,0.10
Corrientes,Esquina,231,0.10
Corrientes,General Alvear,57,0.11
Corrientes,General Paz,104,0.13
Corrientes,Goya,658,0.10
Corrientes,Itati,70,0.04
Corrientes,Ituzaingo,258,0.10
Corrientes,Lavalle,195,0.14
Corrientes,Mburucuya,84,0.05
Corrientes,Mercedes,330,0.09
Corrientes,Monte Caseros,280,0.06
Corrientes,Paso de los Libres,341,0.09
Corrientes,Saladas,178,0.11
Corrientes,San Cosme,109,0.14
Corrientes,San Luis del Palmar,137,0.13
Corrientes,San Martin,103,0.17
Corrientes,San Miguel,75,0.09
Corrientes,San Roque,128,0.21
Corrientes,Santo Tome,462,0.12
Corrientes,Sauce,55,0.20
Chaco,12 de Octubre,179,0.12
Chaco,1°  de Mayo,83,0.10
Chaco,2 de Abril,57,0.12
Chaco,25 de Mayo,212,0.15
Chaco,9 de Julio,188,0.13
Chaco,Almirante Brown,239,0.14
Chaco,Bermejo,207,0.10
Chaco,Chacabuco,224,0.10
Chaco,Comandante Fernandez,718,0.11
Chaco,Fray Justo Santa Maria de Oro,98,0.20
Chaco,General Belgrano,101,0.13
Chaco,General Donovan,95,0.11
Chaco,General Guemes,538,0.16
